"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Felix F.C.; Chagas K.P.T.D.; Ferrari C.S.; Vieira F.A.; Pacheco M.V.","Felix, Francival Cardoso (57194242322); Chagas, Kyvia Pontes Teixeira Das (57196259607); Ferrari, Cibele Dos Santos (16401319700); Vieira, Fábio De Almeida (57220478829); Pacheco, Mauro Vasconcelos (16231173500)","57194242322; 57196259607; 16401319700; 57220478829; 16231173500","Applications of issr markers in studies of genetic diversity of Pityrocarpa moniliformis; [Aplicações de marcadores issr em estudos de diversidade genética de Pityrocarpa moniliformis]","2020","Revista Caatinga","33","4","","1017","1024","7","9","10.1590/1983-21252020v33n417rc","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095411049&doi=10.1590%2f1983-21252020v33n417rc&partnerID=40&md5=b1cef5fab7fe5bcf2539fee1d49cae78","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85095411049"
"Tregidgo D.; da Silva-Maia J.K.; da Silva E.B.; Lopes J.C.; Oler J.R.L.; de Freitas Viana F.M.; Rigo N.; Valsecchi J.; Lopes V.L.; de Menezes Neto E.J.; Jacob M.C.M.","Tregidgo, Daniel (36469148700); da Silva-Maia, Juliana Kelly (57202910657); da Silva, Elenilma Barros (58109360700); Lopes, Jessica Cardoso (58732766200); Oler, Juliana Rodrigues Larrosa (58732766300); de Freitas Viana, Fernanda Maria (58730733800); Rigo, Neide (58731555800); Valsecchi, João (35316189900); Lopes, Valdinei Lemos (57211438142); de Menezes Neto, Elias Jacob (57200825570); Jacob, Michelle Cristine Medeiros (57200676874)","36469148700; 57202910657; 58109360700; 58732766200; 58732766300; 58730733800; 58731555800; 35316189900; 57211438142; 57200825570; 57200676874","How can we include more sociobiodiversity in school meals in the Brazilian Amazon?; [Como inserir mais sociobiodiversidade na alimentação escolar na Amazônia brasileira?]","2023","Ethnobiology and Conservation","12","","21","","","","0","10.15451/EC2023-09-12.21-1-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178242299&doi=10.15451%2fEC2023-09-12.21-1-7&partnerID=40&md5=e06f49f664dcd27f0924a5b45d86824c","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85178242299"
"Seabra I.L.; Pedroso A.O.; Rodrigues T.B.; Ferreira G.R.O.N.; da Silva Ferreira A.L.; Arcêncio R.A.; Gomes D.; da Silva R.A.R.; Botelho E.P.","Seabra, Iaron Leal (57468400300); Pedroso, Andrey Oeiras (57214914474); Rodrigues, Taymara Barbosa (57224082741); Ferreira, Glenda Roberta Oliveira Naiff (57220717245); da Silva Ferreira, Ana Lucia (57221418957); Arcêncio, Ricardo Alexandre (16201857400); Gomes, Dulce (26646516500); da Silva, Richardson Augusto Rosendo (57214510689); Botelho, Eliã Pinheiro (57211540618)","57468400300; 57214914474; 57224082741; 57220717245; 57221418957; 16201857400; 26646516500; 57214510689; 57211540618","Temporal trend and spatial analysis of the HIV epidemic in young men who have sex with men in the second largest Brazilian Amazonian province","2022","BMC Infectious Diseases","22","1","190","","","","2","10.1186/s12879-022-07177-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125300140&doi=10.1186%2fs12879-022-07177-w&partnerID=40&md5=30305bb83210a75ba57ad401325154cc","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85125300140"
"Brumatti P.N.M.; Rozendo C.","Brumatti, Paula Normandia Moreira (58965304800); Rozendo, Cimone (57191192760)","58965304800; 57191192760","National Parks, tourism and governance: Reflections on tourism concessions in Brazil; [Parques Nacionais, turismo e gorvenança: Reflexões acerca das concessões dos serviços turísticos no Brasil]; [Parques Nacionales, turismo y gobernanza: Reflexiones acerca de las concesiones de los servicios turísticos en Brasil]","2021","Brazilian Journal of Tourism Research","15","3","e-2119","","","","2","10.7784/rbtur.v15i3.2119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138376475&doi=10.7784%2frbtur.v15i3.2119&partnerID=40&md5=10f795c8c640aa38fe277a1296ec0b12","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85138376475"
"Bezerra M.S.; Jacob M.C.M.; Ferreira M.A.F.; Vale D.; Mirabal I.R.B.; Lyra C.O.","Bezerra, Mariana Silva (57215771056); Jacob, Michelle Cristine Medeiros (57200676874); Ferreira, Maria Angela Fernandes (12768130500); Vale, Diôgo (57207937062); Mirabal, Isabelle Ribeiro Barbosa (57219197907); Lyra, Clélia de Oliveira (55811730200)","57215771056; 57200676874; 12768130500; 57207937062; 57219197907; 55811730200","Food and nutritional insecurity in Brazil and its correlation with vulnerability markers; [Insegurança alimentar e nutricional no Brasil e sua correlação com indicadores de vulnerabilidade]","2020","Ciencia e Saude Coletiva","25","10","","3833","3846","13","25","10.1590/1413-812320202510.35882018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091638161&doi=10.1590%2f1413-812320202510.35882018&partnerID=40&md5=68f05b7ed19b1572b2101727faadb6fa","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85091638161"
"López-Guerrero R.E.; Verichev K.; Castro A.; Carpio M.","López-Guerrero, Rafael E. (57407635100); Verichev, Konstantin (56375156300); Castro, Alexandre (58041932300); Carpio, Manuel (35174256100)","57407635100; 56375156300; 58041932300; 35174256100","HOW DO URBAN FORM AND SOCIOECONOMIC DIFFERENCES AFFECT THE TEMPERATURE OF THE RESIDENTIAL DISTRICT?; [¿CÓMO AFECTAN LA FORMA URBANA Y LAS DIFERENCIAS SOCIOECONÓMICAS A LA TEMPERATURA DE UN DISTRITO RESIDENCIAL?]","2023","Proceedings from the International Congress on Project Management and Engineering","","","","506","518","12","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179163378&partnerID=40&md5=a22b75bb5ff49003354f3cc982b12b8d","Conference paper","Final","","Scopus","2-s2.0-85179163378"
"de Mesquita Xavier S.S.; de Medeiros L.P.; de Lima Neto A.V.; da Silva I.P.; Lucena S.K.P.; de Souza Oliveira A.C.; de Oliveira Araújo R.; Costa I.K.F.","de Mesquita Xavier, Suenia Silva (57188833038); de Medeiros, Lays Pinheiro (57191858556); de Lima Neto, Alcides Viana (57208347462); da Silva, Isabelle Pereira (57203266848); Lucena, Silvia Kalyma Paiva (57203268568); de Souza Oliveira, Adriana Catarina (55881743800); de Oliveira Araújo, Rhayssa (58638198600); Costa, Isabelle Katherinne Fernandes (54683536100)","57188833038; 57191858556; 57208347462; 57203266848; 57203268568; 55881743800; 58638198600; 54683536100","Sociodemographic and clinical characteristics of people with ostomy and the adaptive domains of Roy’s theory: A cross-sectional study","2024","PLoS ONE","19","4 APRIL","e0302036","","","","0","10.1371/journal.pone.0302036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190833769&doi=10.1371%2fjournal.pone.0302036&partnerID=40&md5=1e69e652ea01ad2796c066dcc316ad46","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85190833769"
"de Castro C.M.; Olivi P.; de Freitas Araújo K.C.; Barbosa Segundo I.D.; dos Santos E.V.; Martínez-Huitle C.A.","de Castro, Cláudio M. (23090475800); Olivi, Paulo (6603955146); de Freitas Araújo, Karla Caroline (56974528000); Barbosa Segundo, Inalmar D. (57204799506); dos Santos, Elisama V. (57213395188); Martínez-Huitle, Carlos A. (6507655813)","23090475800; 6603955146; 56974528000; 57204799506; 57213395188; 6507655813","Environmental application of a cost-effective smartphone-based method for COD analysis: Applicability in the electrochemical treatment of real wastewater","2023","Science of the Total Environment","855","","158816","","","","13","10.1016/j.scitotenv.2022.158816","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138452422&doi=10.1016%2fj.scitotenv.2022.158816&partnerID=40&md5=0f73513a696ab32a5827fb7589447da1","Article","Final","","Scopus","2-s2.0-85138452422"
"de Assunção M.; de Araújo A.G.; de Almeida M.R.","de Assunção, Marcus Vinicius Dantas (55960403100); de Araújo, Afrânio Galdino (35361408300); de Almeida, Mariana Rodrigues (57197813132)","55960403100; 35361408300; 57197813132","The influence of family background on the access to Technical and Vocational education; [O background familiar e sua influência no acesso ao Ensino Técnico Profissional]; [El trasfondo familiar y sus influencias en el acceso a la Enseñanza Técnica Profesional]","2019","Revista de Administracao Publica","53","3","","542","559","17","1","10.1590/0034-761220170352","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071050659&doi=10.1590%2f0034-761220170352&partnerID=40&md5=0db2f0ee73af0e0daa943feb544a0d13","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85071050659"
"Souza H.D.O.; Costa R.D.S.; Quadra G.R.; Fernandez M.A.D.S.","Souza, Helena de Oliveira (57207984668); Costa, Rafaela dos Santos (56435344400); Quadra, Gabrielle Rabelo (57191504487); Fernandez, Marcos Antônio dos Santos (35617513000)","57207984668; 56435344400; 57191504487; 35617513000","Pharmaceutical pollution and sustainable development goals: Going the right way?","2021","Sustainable Chemistry and Pharmacy","21","","100428","","","","32","10.1016/j.scp.2021.100428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104805131&doi=10.1016%2fj.scp.2021.100428&partnerID=40&md5=d3846c5decc096b07d2bf9b93ece35bf","Review","Final","","Scopus","2-s2.0-85104805131"
